The good mom.	The mom good.
The big rabbit.	The rabbit big.
The big lion.	The lion big.
The big bee.	The bee big.
The big snake.	The snake big.
The big sheep.	The sheep big.
The big tiger.	The tiger big.
The big turtle.	The turtle big.
The big monster.	The monster big.
The big owl.	The owl big.
The big spider.	The spider big.
The big zebra.	The zebra big.
The big kangaroo.	The kangaroo big.
The big giraffe.	The giraffe big.
The big dragon.	The dragon big.
The big turkey.	The turkey big.
The big donkey.	The donkey big.
The big uncle.	The uncle big.
The big woman.	The woman big.
The big goose.	The goose big.
The nice mom.	The mom nice.
The nice girl.	The girl nice.
The nice person.	The person nice.
The nice cat.	The cat nice.
The nice guy.	The guy nice.
The nice animal.	The animal nice.
The nice horse.	The horse nice.
The nice bird.	The bird nice.
The nice duck.	The duck nice.
The nice kitty.	The kitty nice.
The nice dad.	The dad nice.
The nice cow.	The cow nice.
The nice elephant.	The elephant nice.
The nice bunny.	The bunny nice.
The nice chicken.	The chicken nice.
The nice dinosaur.	The dinosaur nice.
The nice mouse.	The mouse nice.
The nice lady.	The lady nice.
The nice monkey.	The monkey nice.
The nice caterpillar.	The caterpillar nice.
The nice puppy.	The puppy nice.
The nice rabbit.	The rabbit nice.
The nice lion.	The lion nice.
The nice bee.	The bee nice.
The nice snake.	The snake nice.
The nice sheep.	The sheep nice.
The nice tiger.	The tiger nice.
The nice turtle.	The turtle nice.
The nice monster.	The monster nice.
The nice owl.	The owl nice.
The nice spider.	The spider nice.
The nice zebra.	The zebra nice.
The nice kangaroo.	The kangaroo nice.
The nice giraffe.	The giraffe nice.
The nice dragon.	The dragon nice.
The nice turkey.	The turkey nice.
The nice donkey.	The donkey nice.
The nice uncle.	The uncle nice.
The nice woman.	The woman nice.
The nice goose.	The goose nice.
The new mom.	The mom new.
The new girl.	The girl new.
The new person.	The person new.
The new cat.	The cat new.
The new guy.	The guy new.
The new animal.	The animal new.
The new horse.	The horse new.
The new bird.	The bird new.
The new duck.	The duck new.
The new kitty.	The kitty new.
The new dad.	The dad new.
The new cow.	The cow new.
The new elephant.	The elephant new.
The new bunny.	The bunny new.
The new chicken.	The chicken new.
The new dinosaur.	The dinosaur new.
The new mouse.	The mouse new.
The new lady.	The lady new.
The new monkey.	The monkey new.
The new caterpillar.	The caterpillar new.
The new puppy.	The puppy new.
The new rabbit.	The rabbit new.
The new lion.	The lion new.
The new bee.	The bee new.
The new snake.	The snake new.
The new sheep.	The sheep new.
The new tiger.	The tiger new.
The new turtle.	The turtle new.
The new monster.	The monster new.
The new owl.	The owl new.
The new spider.	The spider new.
The new zebra.	The zebra new.
The new kangaroo.	The kangaroo new.
The new giraffe.	The giraffe new.
The new dragon.	The dragon new.
The new turkey.	The turkey new.
The new donkey.	The donkey new.
The new uncle.	The uncle new.
The new woman.	The woman new.
The new goose.	The goose new.
The hot mom.	The mom hot.
The hot girl.	The girl hot.
The hot person.	The person hot.
The hot cat.	The cat hot.
The hot guy.	The guy hot.
The hot animal.	The animal hot.
The hot horse.	The horse hot.
The hot bird.	The bird hot.
The hot duck.	The duck hot.
The hot kitty.	The kitty hot.
The hot dad.	The dad hot.
The hot cow.	The cow hot.
The hot elephant.	The elephant hot.
The hot bunny.	The bunny hot.
The hot chicken.	The chicken hot.
The hot dinosaur.	The dinosaur hot.
The hot mouse.	The mouse hot.
The hot lady.	The lady hot.
The hot monkey.	The monkey hot.
The hot caterpillar.	The caterpillar hot.
The hot puppy.	The puppy hot.
The hot rabbit.	The rabbit hot.
The hot lion.	The lion hot.
The hot bee.	The bee hot.
The hot snake.	The snake hot.
The hot sheep.	The sheep hot.
The hot tiger.	The tiger hot.
The hot turtle.	The turtle hot.
The hot monster.	The monster hot.
The hot owl.	The owl hot.
The hot spider.	The spider hot.
The hot zebra.	The zebra hot.
The hot kangaroo.	The kangaroo hot.
The hot giraffe.	The giraffe hot.
The hot dragon.	The dragon hot.
The hot turkey.	The turkey hot.
The hot donkey.	The donkey hot.
The hot uncle.	The uncle hot.
The hot woman.	The woman hot.
The hot goose.	The goose hot.
The hungry mom.	The mom hungry.
The hungry girl.	The girl hungry.
The hungry person.	The person hungry.
The hungry cat.	The cat hungry.
The hungry guy.	The guy hungry.
The hungry animal.	The animal hungry.
The hungry horse.	The horse hungry.
The hungry bird.	The bird hungry.
The hungry duck.	The duck hungry.
The hungry kitty.	The kitty hungry.
The hungry dad.	The dad hungry.
The hungry cow.	The cow hungry.
The hungry elephant.	The elephant hungry.
The hungry bunny.	The bunny hungry.
The hungry chicken.	The chicken hungry.
The hungry dinosaur.	The dinosaur hungry.
The hungry mouse.	The mouse hungry.
The hungry lady.	The lady hungry.
The hungry monkey.	The monkey hungry.
The hungry caterpillar.	The caterpillar hungry.
The hungry puppy.	The puppy hungry.
The hungry rabbit.	The rabbit hungry.
The hungry lion.	The lion hungry.
The hungry bee.	The bee hungry.
The hungry snake.	The snake hungry.
The hungry sheep.	The sheep hungry.
The hungry tiger.	The tiger hungry.
The hungry turtle.	The turtle hungry.
The hungry monster.	The monster hungry.
The hungry owl.	The owl hungry.
The hungry spider.	The spider hungry.
The hungry zebra.	The zebra hungry.
The hungry kangaroo.	The kangaroo hungry.
The hungry giraffe.	The giraffe hungry.
The hungry dragon.	The dragon hungry.
The hungry turkey.	The turkey hungry.
The hungry donkey.	The donkey hungry.
The hungry uncle.	The uncle hungry.
The hungry woman.	The woman hungry.
The hungry goose.	The goose hungry.
The old mom.	The mom old.
The old girl.	The girl old.
The old person.	The person old.
The old cat.	The cat old.
The old guy.	The guy old.
The old animal.	The animal old.
The old horse.	The horse old.
The old bird.	The bird old.
The old duck.	The duck old.
The old kitty.	The kitty old.
The old dad.	The dad old.
The old cow.	The cow old.
The old elephant.	The elephant old.
The old bunny.	The bunny old.
The old chicken.	The chicken old.
The old dinosaur.	The dinosaur old.
The old mouse.	The mouse old.
The old lady.	The lady old.
The old monkey.	The monkey old.
The old caterpillar.	The caterpillar old.
The old puppy.	The puppy old.
The old rabbit.	The rabbit old.
The old lion.	The lion old.
The old bee.	The bee old.
The old snake.	The snake old.
The old sheep.	The sheep old.
The old tiger.	The tiger old.
The old turtle.	The turtle old.
The old monster.	The monster old.
The old owl.	The owl old.
The old spider.	The spider old.
The old zebra.	The zebra old.
The old kangaroo.	The kangaroo old.
The old giraffe.	The giraffe old.
The old dragon.	The dragon old.
The old turkey.	The turkey old.
The old donkey.	The donkey old.
The old uncle.	The uncle old.
The old woman.	The woman old.
The old goose.	The goose old.
The bad mom.	The mom bad.
The bad girl.	The girl bad.
The bad person.	The person bad.
The bad cat.	The cat bad.
The bad guy.	The guy bad.
The bad animal.	The animal bad.
The bad horse.	The horse bad.
The bad bird.	The bird bad.
The bad duck.	The duck bad.
The bad kitty.	The kitty bad.
The bad dad.	The dad bad.
The bad cow.	The cow bad.
The bad elephant.	The elephant bad.
The bad bunny.	The bunny bad.
The bad chicken.	The chicken bad.
The bad dinosaur.	The dinosaur bad.
The bad mouse.	The mouse bad.
The bad lady.	The lady bad.
The bad monkey.	The monkey bad.
The bad caterpillar.	The caterpillar bad.
The bad puppy.	The puppy bad.
The bad rabbit.	The rabbit bad.
The bad lion.	The lion bad.
The bad bee.	The bee bad.
The bad snake.	The snake bad.
The bad sheep.	The sheep bad.
The bad tiger.	The tiger bad.
The bad turtle.	The turtle bad.
The bad monster.	The monster bad.
The bad owl.	The owl bad.
The bad spider.	The spider bad.
The bad zebra.	The zebra bad.
The bad kangaroo.	The kangaroo bad.
The bad giraffe.	The giraffe bad.
The bad dragon.	The dragon bad.
The bad turkey.	The turkey bad.
The bad donkey.	The donkey bad.
The bad uncle.	The uncle bad.
The bad woman.	The woman bad.
The bad goose.	The goose bad.
The great mom.	The mom great.
The great girl.	The girl great.
The great person.	The person great.
The great cat.	The cat great.
The great guy.	The guy great.
The great animal.	The animal great.
The great horse.	The horse great.
The great bird.	The bird great.
The great duck.	The duck great.
The great kitty.	The kitty great.
The great dad.	The dad great.
The great cow.	The cow great.
The great elephant.	The elephant great.
The great bunny.	The bunny great.
The great chicken.	The chicken great.
The great dinosaur.	The dinosaur great.
The great mouse.	The mouse great.
The great lady.	The lady great.
The great monkey.	The monkey great.
The great caterpillar.	The caterpillar great.
The great puppy.	The puppy great.
The great rabbit.	The rabbit great.
The great lion.	The lion great.
The great bee.	The bee great.
The great snake.	The snake great.
The great sheep.	The sheep great.
The great tiger.	The tiger great.
The great turtle.	The turtle great.
The great monster.	The monster great.
The great owl.	The owl great.
The great spider.	The spider great.
The great zebra.	The zebra great.
The great kangaroo.	The kangaroo great.
The great giraffe.	The giraffe great.
The great dragon.	The dragon great.
The great turkey.	The turkey great.
The great donkey.	The donkey great.
The great uncle.	The uncle great.
The great woman.	The woman great.
The great goose.	The goose great.
The different mom.	The mom different.
The different girl.	The girl different.
The different person.	The person different.
The different cat.	The cat different.
The different guy.	The guy different.
The different animal.	The animal different.
The different horse.	The horse different.
The different bird.	The bird different.
The different duck.	The duck different.
The different kitty.	The kitty different.
The different dad.	The dad different.
The different cow.	The cow different.
The different elephant.	The elephant different.
The different bunny.	The bunny different.
The different chicken.	The chicken different.
The different dinosaur.	The dinosaur different.
The different mouse.	The mouse different.
The different lady.	The lady different.
The different monkey.	The monkey different.
The different caterpillar.	The caterpillar different.
The different puppy.	The puppy different.
The different rabbit.	The rabbit different.
The different lion.	The lion different.
The different bee.	The bee different.
The different snake.	The snake different.
The different sheep.	The sheep different.
The different tiger.	The tiger different.
The different turtle.	The turtle different.
The different monster.	The monster different.
The different owl.	The owl different.
The different spider.	The spider different.
The different zebra.	The zebra different.
The different kangaroo.	The kangaroo different.
The different giraffe.	The giraffe different.
The different dragon.	The dragon different.
The different turkey.	The turkey different.
The different donkey.	The donkey different.
The different uncle.	The uncle different.
The different woman.	The woman different.
The different goose.	The goose different.
The same mom.	The mom same.
The same girl.	The girl same.
The same person.	The person same.
The same cat.	The cat same.
The same guy.	The guy same.
The same animal.	The animal same.
The same horse.	The horse same.
The same bird.	The bird same.
The same duck.	The duck same.
The same kitty.	The kitty same.
The same dad.	The dad same.
The same cow.	The cow same.
The same elephant.	The elephant same.
The same bunny.	The bunny same.
The same chicken.	The chicken same.
The same dinosaur.	The dinosaur same.
The same mouse.	The mouse same.
The same lady.	The lady same.
The same monkey.	The monkey same.
The same caterpillar.	The caterpillar same.
The same puppy.	The puppy same.
The same rabbit.	The rabbit same.
The same lion.	The lion same.
The same bee.	The bee same.
The same snake.	The snake same.
The same sheep.	The sheep same.
The same tiger.	The tiger same.
The same turtle.	The turtle same.
The same monster.	The monster same.
The same owl.	The owl same.
The same spider.	The spider same.
The same zebra.	The zebra same.
The same kangaroo.	The kangaroo same.
The same giraffe.	The giraffe same.
The same dragon.	The dragon same.
The same turkey.	The turkey same.
The same donkey.	The donkey same.
The same uncle.	The uncle same.
The same woman.	The woman same.
The same goose.	The goose same.
The happy mom.	The mom happy.
The happy girl.	The girl happy.
The happy person.	The person happy.
The happy cat.	The cat happy.
The happy guy.	The guy happy.
The happy animal.	The animal happy.
The happy horse.	The horse happy.
The happy bird.	The bird happy.
The happy duck.	The duck happy.
The happy kitty.	The kitty happy.
The happy dad.	The dad happy.
The happy cow.	The cow happy.
The happy elephant.	The elephant happy.
The happy bunny.	The bunny happy.
The happy chicken.	The chicken happy.
The happy dinosaur.	The dinosaur happy.
The happy mouse.	The mouse happy.
The happy lady.	The lady happy.
The happy monkey.	The monkey happy.
The happy caterpillar.	The caterpillar happy.
The happy puppy.	The puppy happy.
The happy rabbit.	The rabbit happy.
The happy lion.	The lion happy.
The happy bee.	The bee happy.
The happy snake.	The snake happy.
The happy sheep.	The sheep happy.
The happy tiger.	The tiger happy.
The happy turtle.	The turtle happy.
The happy monster.	The monster happy.
The happy owl.	The owl happy.
The happy spider.	The spider happy.
The happy zebra.	The zebra happy.
The happy kangaroo.	The kangaroo happy.
The happy giraffe.	The giraffe happy.
The happy dragon.	The dragon happy.
The happy turkey.	The turkey happy.
The happy donkey.	The donkey happy.
The happy uncle.	The uncle happy.
The happy woman.	The woman happy.
The happy goose.	The goose happy.
The small mom.	The mom small.
The small girl.	The girl small.
The small person.	The person small.
The small cat.	The cat small.
The small guy.	The guy small.
The small animal.	The animal small.
The small horse.	The horse small.
The small bird.	The bird small.
The small duck.	The duck small.
The small kitty.	The kitty small.
The small dad.	The dad small.
The small cow.	The cow small.
The small elephant.	The elephant small.
The small bunny.	The bunny small.
The small chicken.	The chicken small.
The small dinosaur.	The dinosaur small.
The small mouse.	The mouse small.
The small lady.	The lady small.
The small monkey.	The monkey small.
The small caterpillar.	The caterpillar small.
The small puppy.	The puppy small.
The small rabbit.	The rabbit small.
The small lion.	The lion small.
The small bee.	The bee small.
The small snake.	The snake small.
The small sheep.	The sheep small.
The small tiger.	The tiger small.
The small turtle.	The turtle small.
The small monster.	The monster small.
The small owl.	The owl small.
The small spider.	The spider small.
The small zebra.	The zebra small.
The small kangaroo.	The kangaroo small.
The small giraffe.	The giraffe small.
The small dragon.	The dragon small.
The small turkey.	The turkey small.
The small donkey.	The donkey small.
The small uncle.	The uncle small.
The small woman.	The woman small.
The small goose.	The goose small.
The wet mom.	The mom wet.
The wet girl.	The girl wet.
The wet person.	The person wet.
The wet cat.	The cat wet.
The wet guy.	The guy wet.
The wet animal.	The animal wet.
The wet horse.	The horse wet.
The wet bird.	The bird wet.
The wet duck.	The duck wet.
The wet kitty.	The kitty wet.
The wet dad.	The dad wet.
The wet cow.	The cow wet.
The wet elephant.	The elephant wet.
The wet bunny.	The bunny wet.
The wet chicken.	The chicken wet.
The wet dinosaur.	The dinosaur wet.
The wet mouse.	The mouse wet.
The wet lady.	The lady wet.
The wet monkey.	The monkey wet.
The wet caterpillar.	The caterpillar wet.
The wet puppy.	The puppy wet.
The wet rabbit.	The rabbit wet.
The wet lion.	The lion wet.
The wet bee.	The bee wet.
The wet snake.	The snake wet.
The wet sheep.	The sheep wet.
The wet tiger.	The tiger wet.
The wet turtle.	The turtle wet.
The wet monster.	The monster wet.
The wet owl.	The owl wet.
The wet spider.	The spider wet.
The wet zebra.	The zebra wet.
The wet kangaroo.	The kangaroo wet.
The wet giraffe.	The giraffe wet.
The wet dragon.	The dragon wet.
The wet turkey.	The turkey wet.
The wet donkey.	The donkey wet.
The wet uncle.	The uncle wet.
The wet woman.	The woman wet.
The wet goose.	The goose wet.
The cute mom.	The mom cute.
The cute girl.	The girl cute.
The cute person.	The person cute.
The cute cat.	The cat cute.
The cute guy.	The guy cute.
The cute animal.	The animal cute.
The cute horse.	The horse cute.
The cute bird.	The bird cute.
The cute duck.	The duck cute.
The cute kitty.	The kitty cute.
The cute dad.	The dad cute.
The cute cow.	The cow cute.
The cute elephant.	The elephant cute.
The cute bunny.	The bunny cute.
The cute chicken.	The chicken cute.
The cute dinosaur.	The dinosaur cute.
The cute mouse.	The mouse cute.
The cute lady.	The lady cute.
The cute monkey.	The monkey cute.
The cute caterpillar.	The caterpillar cute.
The cute puppy.	The puppy cute.
The cute rabbit.	The rabbit cute.
The cute lion.	The lion cute.
The cute bee.	The bee cute.
The cute snake.	The snake cute.
The cute sheep.	The sheep cute.
The cute tiger.	The tiger cute.
The cute turtle.	The turtle cute.
The cute monster.	The monster cute.
The cute owl.	The owl cute.
The cute spider.	The spider cute.
The cute zebra.	The zebra cute.
The cute kangaroo.	The kangaroo cute.
The cute giraffe.	The giraffe cute.
The cute dragon.	The dragon cute.
The cute turkey.	The turkey cute.
The cute donkey.	The donkey cute.
The cute uncle.	The uncle cute.
The cute woman.	The woman cute.
The cute goose.	The goose cute.
The beautiful mom.	The mom beautiful.
The beautiful girl.	The girl beautiful.
The beautiful person.	The person beautiful.
The beautiful cat.	The cat beautiful.
The beautiful guy.	The guy beautiful.
The beautiful animal.	The animal beautiful.
The beautiful horse.	The horse beautiful.
The beautiful bird.	The bird beautiful.
The beautiful duck.	The duck beautiful.
The beautiful kitty.	The kitty beautiful.
The beautiful dad.	The dad beautiful.
The beautiful cow.	The cow beautiful.
The beautiful elephant.	The elephant beautiful.
The beautiful bunny.	The bunny beautiful.
The beautiful chicken.	The chicken beautiful.
The beautiful dinosaur.	The dinosaur beautiful.
The beautiful mouse.	The mouse beautiful.
The beautiful lady.	The lady beautiful.
The beautiful monkey.	The monkey beautiful.
The beautiful caterpillar.	The caterpillar beautiful.
The beautiful puppy.	The puppy beautiful.
The beautiful rabbit.	The rabbit beautiful.
The beautiful lion.	The lion beautiful.
The beautiful bee.	The bee beautiful.
The beautiful snake.	The snake beautiful.
The beautiful sheep.	The sheep beautiful.
The beautiful tiger.	The tiger beautiful.
The beautiful turtle.	The turtle beautiful.
The beautiful monster.	The monster beautiful.
The beautiful owl.	The owl beautiful.
The beautiful spider.	The spider beautiful.
The beautiful zebra.	The zebra beautiful.
The beautiful kangaroo.	The kangaroo beautiful.
The beautiful giraffe.	The giraffe beautiful.
The beautiful dragon.	The dragon beautiful.
The beautiful turkey.	The turkey beautiful.
The beautiful donkey.	The donkey beautiful.
The beautiful uncle.	The uncle beautiful.
The beautiful woman.	The woman beautiful.
The beautiful goose.	The goose beautiful.
The tiny mom.	The mom tiny.
The tiny girl.	The girl tiny.
The tiny person.	The person tiny.
The tiny cat.	The cat tiny.
The tiny guy.	The guy tiny.
The tiny animal.	The animal tiny.
The tiny horse.	The horse tiny.
The tiny bird.	The bird tiny.
The tiny duck.	The duck tiny.
The tiny kitty.	The kitty tiny.
The tiny dad.	The dad tiny.
The tiny cow.	The cow tiny.
The tiny elephant.	The elephant tiny.
The tiny bunny.	The bunny tiny.
The tiny chicken.	The chicken tiny.
The tiny dinosaur.	The dinosaur tiny.
The tiny mouse.	The mouse tiny.
The tiny lady.	The lady tiny.
The tiny monkey.	The monkey tiny.
The tiny caterpillar.	The caterpillar tiny.
The tiny puppy.	The puppy tiny.
The tiny rabbit.	The rabbit tiny.
The tiny lion.	The lion tiny.
The tiny bee.	The bee tiny.
The tiny snake.	The snake tiny.
The tiny sheep.	The sheep tiny.
The tiny tiger.	The tiger tiny.
The tiny turtle.	The turtle tiny.
The tiny monster.	The monster tiny.
The tiny owl.	The owl tiny.
The tiny spider.	The spider tiny.
The tiny zebra.	The zebra tiny.
The tiny kangaroo.	The kangaroo tiny.
The tiny giraffe.	The giraffe tiny.
The tiny dragon.	The dragon tiny.
The tiny turkey.	The turkey tiny.
The tiny donkey.	The donkey tiny.
The tiny uncle.	The uncle tiny.
The tiny woman.	The woman tiny.
The tiny goose.	The goose tiny.
The sick mom.	The mom sick.
The sick girl.	The girl sick.
The sick person.	The person sick.
The sick cat.	The cat sick.
The sick guy.	The guy sick.
The sick animal.	The animal sick.
The sick horse.	The horse sick.
The sick bird.	The bird sick.
The sick duck.	The duck sick.
The sick kitty.	The kitty sick.
The sick dad.	The dad sick.
The sick cow.	The cow sick.
The sick elephant.	The elephant sick.
The sick bunny.	The bunny sick.
The sick chicken.	The chicken sick.
The sick dinosaur.	The dinosaur sick.
The sick mouse.	The mouse sick.
The sick lady.	The lady sick.
The sick monkey.	The monkey sick.
The sick caterpillar.	The caterpillar sick.
The sick puppy.	The puppy sick.
The sick rabbit.	The rabbit sick.
The sick lion.	The lion sick.
The sick bee.	The bee sick.
The sick snake.	The snake sick.
The sick sheep.	The sheep sick.
The sick tiger.	The tiger sick.
The sick turtle.	The turtle sick.
The sick monster.	The monster sick.
The sick owl.	The owl sick.
The sick spider.	The spider sick.
The sick zebra.	The zebra sick.
The sick kangaroo.	The kangaroo sick.
The sick giraffe.	The giraffe sick.
The sick dragon.	The dragon sick.
The sick turkey.	The turkey sick.
The sick donkey.	The donkey sick.
The sick uncle.	The uncle sick.
The sick woman.	The woman sick.
The sick goose.	The goose sick.
The soft mom.	The mom soft.
The soft girl.	The girl soft.
The soft person.	The person soft.
The soft cat.	The cat soft.
The soft guy.	The guy soft.
The soft animal.	The animal soft.
The soft horse.	The horse soft.
The soft bird.	The bird soft.
The soft duck.	The duck soft.
The soft kitty.	The kitty soft.
The soft dad.	The dad soft.
The soft cow.	The cow soft.
The soft elephant.	The elephant soft.
The soft bunny.	The bunny soft.
The soft chicken.	The chicken soft.
The soft dinosaur.	The dinosaur soft.
The soft mouse.	The mouse soft.
The soft lady.	The lady soft.
The soft monkey.	The monkey soft.
The soft caterpillar.	The caterpillar soft.
The soft puppy.	The puppy soft.
The soft rabbit.	The rabbit soft.
The soft lion.	The lion soft.
The soft bee.	The bee soft.
The soft snake.	The snake soft.
The soft sheep.	The sheep soft.
The soft tiger.	The tiger soft.
The soft turtle.	The turtle soft.
The soft monster.	The monster soft.
The soft owl.	The owl soft.
The soft spider.	The spider soft.
The soft zebra.	The zebra soft.
The soft kangaroo.	The kangaroo soft.
The soft giraffe.	The giraffe soft.
The soft dragon.	The dragon soft.
The soft turkey.	The turkey soft.
The soft donkey.	The donkey soft.
The soft uncle.	The uncle soft.
The soft woman.	The woman soft.
The soft goose.	The goose soft.
The heavy mom.	The mom heavy.
The heavy girl.	The girl heavy.
The heavy person.	The person heavy.
The heavy cat.	The cat heavy.
The heavy guy.	The guy heavy.
The heavy animal.	The animal heavy.
The heavy horse.	The horse heavy.
The heavy bird.	The bird heavy.
The heavy duck.	The duck heavy.
The heavy kitty.	The kitty heavy.
The heavy dad.	The dad heavy.
The heavy cow.	The cow heavy.
The heavy elephant.	The elephant heavy.
The heavy bunny.	The bunny heavy.
The heavy chicken.	The chicken heavy.
The heavy dinosaur.	The dinosaur heavy.
The heavy mouse.	The mouse heavy.
The heavy lady.	The lady heavy.
The heavy monkey.	The monkey heavy.
The heavy caterpillar.	The caterpillar heavy.
The heavy puppy.	The puppy heavy.
The heavy rabbit.	The rabbit heavy.
The heavy lion.	The lion heavy.
The heavy bee.	The bee heavy.
The heavy snake.	The snake heavy.
The heavy sheep.	The sheep heavy.
The heavy tiger.	The tiger heavy.
The heavy turtle.	The turtle heavy.
The heavy monster.	The monster heavy.
The heavy owl.	The owl heavy.
The heavy spider.	The spider heavy.
The heavy zebra.	The zebra heavy.
The heavy kangaroo.	The kangaroo heavy.
The heavy giraffe.	The giraffe heavy.
The heavy dragon.	The dragon heavy.
The heavy turkey.	The turkey heavy.
The heavy donkey.	The donkey heavy.
The heavy uncle.	The uncle heavy.
The heavy woman.	The woman heavy.
The heavy goose.	The goose heavy.
The neat mom.	The mom neat.
The neat girl.	The girl neat.
The neat person.	The person neat.
The neat cat.	The cat neat.
The neat guy.	The guy neat.
The neat animal.	The animal neat.
The neat horse.	The horse neat.
The neat bird.	The bird neat.
The neat duck.	The duck neat.
The neat kitty.	The kitty neat.
The neat dad.	The dad neat.
The neat cow.	The cow neat.
The neat elephant.	The elephant neat.
The neat bunny.	The bunny neat.
The neat chicken.	The chicken neat.
The neat dinosaur.	The dinosaur neat.
The neat mouse.	The mouse neat.
The neat lady.	The lady neat.
The neat monkey.	The monkey neat.
The neat caterpillar.	The caterpillar neat.
The neat puppy.	The puppy neat.
The neat rabbit.	The rabbit neat.
The neat lion.	The lion neat.
The neat bee.	The bee neat.
The neat snake.	The snake neat.
The neat sheep.	The sheep neat.
The neat tiger.	The tiger neat.
The neat turtle.	The turtle neat.
The neat monster.	The monster neat.
The neat owl.	The owl neat.
The neat spider.	The spider neat.
The neat zebra.	The zebra neat.
The neat kangaroo.	The kangaroo neat.
The neat giraffe.	The giraffe neat.
The neat dragon.	The dragon neat.
The neat turkey.	The turkey neat.
The neat donkey.	The donkey neat.
The neat uncle.	The uncle neat.
The neat woman.	The woman neat.
The neat goose.	The goose neat.
The poor mom.	The mom poor.
The poor girl.	The girl poor.
The poor person.	The person poor.
The poor cat.	The cat poor.
The poor guy.	The guy poor.
The poor animal.	The animal poor.
The poor horse.	The horse poor.
The poor bird.	The bird poor.
The poor duck.	The duck poor.
The poor kitty.	The kitty poor.
The poor dad.	The dad poor.
The poor cow.	The cow poor.
The poor elephant.	The elephant poor.
The poor bunny.	The bunny poor.
The poor chicken.	The chicken poor.
The poor dinosaur.	The dinosaur poor.
The poor mouse.	The mouse poor.
The poor lady.	The lady poor.
The poor monkey.	The monkey poor.
The poor caterpillar.	The caterpillar poor.
The poor puppy.	The puppy poor.
The poor rabbit.	The rabbit poor.
The poor lion.	The lion poor.
The poor bee.	The bee poor.
The poor snake.	The snake poor.
The poor sheep.	The sheep poor.
The poor tiger.	The tiger poor.
The poor turtle.	The turtle poor.
The poor monster.	The monster poor.
The poor owl.	The owl poor.
The poor spider.	The spider poor.
The poor zebra.	The zebra poor.
The poor kangaroo.	The kangaroo poor.
The poor giraffe.	The giraffe poor.
The poor dragon.	The dragon poor.
The poor turkey.	The turkey poor.
The poor donkey.	The donkey poor.
The poor uncle.	The uncle poor.
The poor woman.	The woman poor.
The poor goose.	The goose poor.
The sad mom.	The mom sad.
The sad girl.	The girl sad.
The sad person.	The person sad.
The sad cat.	The cat sad.
The sad guy.	The guy sad.
The sad animal.	The animal sad.
The sad horse.	The horse sad.
The sad bird.	The bird sad.
The sad duck.	The duck sad.
The sad kitty.	The kitty sad.
The sad dad.	The dad sad.
The sad cow.	The cow sad.
The sad elephant.	The elephant sad.
